Species;Strategy;Population;Year;Pollinarium_removal;Fruit_set;Height;N_Flowers;N_Fruits;Fruit_fail;Pollinia_missing;Pollinia_not_removed;Labellum_lenght;Labellum_width;Petal_lenght;Petal_width;Inbreeding_Fruit_set;Inbreeding_Seed_viability;Inbreeding_Cumulative;Pollen_limitation
A. coriophora;Rewarding;El Toro;2017;0;0;16.5;24;0;24;0;48;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0;0;8.2;7;0;7;0;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0;0.526;9.1;12;6;6;0;24;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.042;0.083;11.1;12;1;11;1;23;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.071;0.357;14.5;14;5;9;2;26;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.077;0.308;12.5;13;4;9;2;24;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.214;1;26.1;28;28;0;12;44;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.231;0;15.5;13;0;13;6;20;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.231;0;14.5;13;0;13;6;20;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.278;0.389;16;18;7;11;10;26;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.313;0;16.1;16;0;16;10;22;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.315;0.926;16.8;27;25;2;17;37;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
