Species;Strategy;Year;Population;Seed_viability
A. coriophora;Reward;2017;xorrigo;0.8125
A. coriophora;Reward;2017;xorrigo;0.013307985
A. coriophora;Reward;2017;xorrigo;0.792063492
A. coriophora;Reward;2017;xorrigo;0.460708783
A. coriophora;Reward;2017;xorrigo;0.466437177
A. coriophora;Reward;2017;xorrigo;0.182897862
A. coriophora;Reward;2017;xorrigo;0.059642147
A. coriophora;Reward;2017;xorrigo;0.761061947
A. coriophora;Reward;2017;xorrigo;0.782287823
A. coriophora;Reward;2017;xorrigo;0.021400778
A. coriophora;Reward;2017;xorrigo;0
A. coriophora;Reward;2017;xorrigo;0.028037383
A. coriophora;Reward;2017;xorrigo;0.763761468
A. coriophora;Reward;2017;xorrigo;0.018907563
A. coriophora;Reward;2017;xorrigo;0.096692112
A. coriophora;Reward;2017;xorrigo;0.344689379
A. coriophora;Reward;2017;xorrigo;0.147540984
A. coriophora;Reward;2017;xorrigo;0
A. coriophora;Reward;2017;xorrigo;0.367021277
A. coriophora;Reward;2017;xorrigo;0.506369427
A. coriophora;Reward;2017;xorrigo;0.009259259
A. coriophora;Reward;2017;xorrigo;0.685240964
A. coriophora;Reward;2017;xorrigo;0.117948718
A. coriophora;Reward;2017;xorrigo;0.827102804
A. coriophora;Reward;2017;xorrigo;0.531782946
A. coriophora;Reward;2017;xorrigo;0.457271364
A. coriophora;Reward;2017;xorrigo;0.618390805
A. coriophora;Reward;2017;xorrigo;0.006857143
A. coriophora;Reward;2017;xorrigo;0.398809524
A. coriophora;Reward;2017;xorrigo;0
A. coriophora;Reward;2017;xorrigo;0.245436105
A. coriophora;Reward;2017;sonbosc;0.590214067
A. coriophora;Reward;2017;sonbosc;0.798525799
A. coriophora;Reward;2017;sonbosc;0.730538922
A. coriophora;Reward;2017;sonbosc;0.721649485
A. coriophora;Reward;2017;sonbosc;0.445945946
A. coriophora;Reward;2017;sonbosc;0.057142857
A. coriophora;Reward;2017;sonbosc;0.165302782
A. coriophora;Reward;2017;sonbosc;0.585074627
A. coriophora;Reward;2017;sonbosc;0.72962963
A. coriophora;Reward;2017;sonbosc;0.576994434
A. coriophora;Reward;2017;sonbosc;0.005457026
A. coriophora;Reward;2017;sonbosc;0.865353038
A. coriophora;Reward;2017;sonbosc;0.844402277
A. coriophora;Reward;2017;sonbosc;0.809716599
A. coriophora;Reward;2017;sonbosc;0.739279588
A. coriophora;Reward;2017;sonbosc;0.328025478
A. coriophora;Reward;2017;sonbosc;0.53180212
A. coriophora;Reward;2017;sonbosc;0.726765799
A. coriophora;Reward;2017;sonbosc;0.851936219
A. coriophora;Reward;2017;sonbosc;0.793478261
A. coriophora;Reward;2017;sonbosc;0.49754902
A. coriophora;Reward;2017;sonbosc;0.26
A. coriophora;Reward;2017;sonbosc;0.742647059
A. coriophora;Reward;2017;sonbosc;0.277777778
A. coriophora;Reward;2017;sonbosc;0.709923664
A. coriophora;Reward;2017;sonbosc;0.687793427
A. coriophora;Reward;2017;sonbosc;0.664233577
A. coriophora;Reward;2017;sonbosc;0.70783848
A. coriophora;Reward;2017;sonbosc;0.653846154
A. coriophora;Reward;2017;sonbosc;0.748071979
A. coriophora;Reward;2017;sonbosc;0.870212766
A. coriophora;Reward;2017;toro;0.179245283
A. coriophora;Reward;2017;toro;0.226415094
A. coriophora;Reward;2017;toro;0.47260274
A. coriophora;Reward;2017;toro;0.190231362
A. coriophora;Reward;2017;toro;0.635204082
A. coriophora;Reward;2017;toro;0.502272727
A. coriophora;Reward;2017;toro;0.159663866
A. coriophora;Reward;2017;toro;0.273684211
A. coriophora;Reward;2017;toro;0.185328185
A. coriophora;Reward;2017;toro;0.651898734
A. coriophora;Reward;2017;toro;0.22147651
A. coriophora;Reward;2017;toro;0.091666667
A. coriophora;Reward;2017;toro;0.520123839
A. coriophora;Reward;2017;toro;0.358208955
A. coriophora;Reward;2017;toro;0.380645161
A. coriophora;Reward;2017;toro;0.431372549
A. coriophora;Reward;2016;sonbosc;0.820734341
A. coriophora;Reward;2016;sonbosc;0.472283814
A. coriophora;Reward;2016;sonbosc;0.779193206
A. coriophora;Reward;2016;sonbosc;0.39261745
A. coriophora;Reward;2016;sonbosc;0.648241206
A. coriophora;Reward;2016;sonbosc;0.026315789
A. coriophora;Reward;2016;sonbosc;0.534435262
A. coriophora;Reward;2016;sonbosc;0.551724138
A. coriophora;Reward;2016;sonbosc;0.681818182
A. coriophora;Reward;2018;sonbosc;0.914285714
A. coriophora;Reward;2018;sonbosc;0.665226782
A. coriophora;Reward;2018;sonbosc;0.432876712
A. coriophora;Reward;2018;sonbosc;0.591044776
A. coriophora;Reward;2018;sonbosc;0.664328657
A. coriophora;Reward;2018;sonbosc;0.700672646
A. coriophora;Reward;2018;sonbosc;0.214488636
A. coriophora;Reward;2018;sonbosc;0.630385488
A. coriophora;Reward;2018;sonbosc;0.548571429
A. coriophora;Reward;2018;sonbosc;0.477756286
A. coriophora;Reward;2018;sonbosc;0.654600302
A. coriophora;Reward;2018;sonbosc;0.35523614
A. coriophora;Reward;2018;sonbosc;0.181745396
A. coriophora;Reward;2018;sonbosc;0.521489971
A. coriophora;Reward;2018;sonbosc;0.541899441
A. coriophora;Reward;2018;sonbosc;0.379707113
A. coriophora;Reward;2018;sonbosc;0.621848739
A. coriophora;Reward;2018;sonbosc;0.916666667
A. coriophora;Reward;2018;sonbosc;0.646932185
A. coriophora;Reward;2018;sonbosc;0.027964206
A. coriophora;Reward;2018;sonbosc;0.135549872
A. coriophora;Reward;2018;sonbosc;0.502512563
A. coriophora;Reward;2018;sonbosc;0.31512605
A. coriophora;Reward;2018;sonbosc;0.69023569
A. coriophora;Reward;2018;sonbosc;0.73630137
A. coriophora;Reward;2018;sonbosc;0.383137673
A. coriophora;Reward;2018;sonbosc;0.020460358
A. coriophora;Reward;2018;sonbosc;0.557219251
A. coriophora;Reward;2018;sonbosc;0.050884956
A. coriophora;Reward;2018;sonbosc;0.482758621
A. coriophora;Reward;2018;toro;0.633557047
A. coriophora;Reward;2018;toro;0.273584906
A. coriophora;Reward;2018;toro;0.566706021
A. coriophora;Reward;2018;toro;0.810289389
A. coriophora;Reward;2018;toro;0.703030303
A. coriophora;Reward;2018;toro;0.517241379
A. coriophora;Reward;2018;toro;0.813769752
A. coriophora;Reward;2018;toro;0.939271255
A. coriophora;Reward;2018;toro;0.601654846
A. coriophora;Reward;2018;toro;0.647444299
A. coriophora;Reward;2018;toro;0.641154329
A. coriophora;Reward;2018;toro;0.472616633
A. coriophora;Reward;2018;toro;0.539130435
A. coriophora;Reward;2018;toro;0.686641698
A. coriophora;Reward;2018;toro;0.837837838
A. coriophora;Reward;2018;toro;0.616852146
A. coriophora;Reward;2018;toro;0.585421412
A. coriophora;Reward;2018;toro;0.348111658
A. coriophora;Reward;2018;toro;0.797766749
A. coriophora;Reward;2018;toro;0.34796748
A. coriophora;Reward;2018;toro;0.856164384
A. coriophora;Reward;2018;toro;0.499335989
A. coriophora;Reward;2018;toro;0.671905697
A. coriophora;Reward;2018;toro;0.747588424
A. coriophora;Reward;2018;toro;0.458456973
A. coriophora;Reward;2018;toro;0.550052687
A. coriophora;Reward;2018;toro;0.325465839
A. coriophora;Reward;2018;toro;0.639318885
A. coriophora;Reward;2018;xorrigo;0.56501182
A. coriophora;Reward;2018;xorrigo;0.674775928
A. coriophora;Reward;2018;xorrigo;0.538547486
A. coriophora;Reward;2018;xorrigo;0.585611511
A. coriophora;Reward;2018;xorrigo;0.630982368
A. coriophora;Reward;2018;xorrigo;0.852040816
A. coriophora;Reward;2018;xorrigo;0.438263229
A. coriophora;Reward;2018;xorrigo;0.540483701
A. coriophora;Reward;2018;xorrigo;0.480263158
A. coriophora;Reward;2018;xorrigo;0.397959184
A. coriophora;Reward;2018;xorrigo;0.906362545
A. coriophora;Reward;2018;xorrigo;0.522273425
A. coriophora;Reward;2018;xorrigo;0.742138365
A. coriophora;Reward;2018;xorrigo;0.901112485
A. coriophora;Reward;2018;xorrigo;0.532438479
A. longicornu;Food;2017;Bellver;0.941772152
A. longicornu;Food;2017;Bellver;0.830188679
A. longicornu;Food;2017;Bellver;0.906724512
A. longicornu;Food;2017;Bellver;0.407626561
A. longicornu;Food;2017;Bellver;0.776785714
A. longicornu;Food;2017;Bellver;0.768701634
A. longicornu;Food;2017;Bellver;0.87092297
A. longicornu;Food;2017;Bellver;0.576770538
A. longicornu;Food;2017;Bellver;0.917597765
A. longicornu;Food;2017;Bellver;0.776840491
A. longicornu;Food;2017;Mondrago;0.834872979
A. longicornu;Food;2017;Mondrago;0.013626834
A. longicornu;Food;2017;Mondrago;0.87704918
A. longicornu;Food;2017;Mondrago;0.834004835
A. longicornu;Food;2017;Mondrago;0.786440678
A. longicornu;Food;2017;Mondrago;0.975986278
A. longicornu;Food;2017;Mondrago;0.685470085
A. longicornu;Food;2017;Mondrago;0.910652921
A. longicornu;Food;2017;Mondrago;0.588401697
A. longicornu;Food;2017;Mondrago;0.960766423
A. longicornu;Food;2017;Llucmajor;0.973581974
A. longicornu;Food;2017;Llucmajor;0.958995816
A. longicornu;Food;2017;Llucmajor;0.059875583
A. longicornu;Food;2017;Llucmajor;0.899598394
A. longicornu;Food;2017;Llucmajor;0.300309598
A. longicornu;Food;2017;Llucmajor;0.947194719
A. longicornu;Food;2017;Llucmajor;0.938344595
A. longicornu;Food;2017;Llucmajor;0.967266776
A. longicornu;Food;2017;Llucmajor;0.960960961
A. longicornu;Food;2017;Llucmajor;0.05704698
A. longicornu;Food;2017;Portol;0.898922949
A. longicornu;Food;2017;Portol;0.601604278
A. longicornu;Food;2017;Portol;0.514580802
A. longicornu;Food;2017;Portol;0.332465843
A. longicornu;Food;2017;Portol;0.275497512
A. longicornu;Food;2017;Portol;0.160310734
A. longicornu;Food;2017;Portol;0.22410148
A. longicornu;Food;2017;Portol;0.443450479
A. longicornu;Food;2017;Portol;0
A. longicornu;Food;2017;Portol;0.872788543
A. longicornu;Food;2017;Doblons;0.34932957
A. longicornu;Food;2017;Doblons;0.922284644
A. longicornu;Food;2017;Doblons;0.969115192
A. longicornu;Food;2017;Doblons;0.761946134
A. longicornu;Food;2017;Doblons;0.947413793
A. longicornu;Food;2017;Doblons;0.43993372
A. longicornu;Food;2017;Doblons;0.872
A. longicornu;Food;2017;Doblons;0.868965517
A. longicornu;Food;2017;Doblons;0.95620438
A. longicornu;Food;2017;Doblons;0.970822281
A. longicornu;Food;2017;Mut;0.689974726
A. longicornu;Food;2017;Mut;0.047154472
A. longicornu;Food;2017;Mut;0.439282804
A. longicornu;Food;2017;Mut;0.424759081
A. longicornu;Food;2017;Mut;0.49516129
A. longicornu;Food;2017;Mut;0.214529915
A. longicornu;Food;2017;Mut;0.644067797
A. longicornu;Food;2017;Mut;0.737646002
A. longicornu;Food;2017;Mut;0.036300778
A. longicornu;Food;2017;Mut;0.442105263
A. longicornu;Food;2015;Bellver;0.908854167
A. longicornu;Food;2015;Bellver;0.581469649
A. longicornu;Food;2015;Bellver;0.194587629
A. longicornu;Food;2015;Bellver;0.562883436
A. longicornu;Food;2015;Bellver;0.665042631
A. longicornu;Food;2015;Bellver;0.871674491
A. longicornu;Food;2015;Bellver;0.783471074
A. longicornu;Food;2015;Bellver;0.050221566
A. longicornu;Food;2015;Bellver;0.955555556
A. longicornu;Food;2016;Bellver;0.573099415
A. longicornu;Food;2016;Bellver;0.692712906
A. longicornu;Food;2016;Bellver;0.901222954
A. longicornu;Food;2016;Bellver;0.452755906
A. longicornu;Food;2016;Bellver;0.799585349
A. longicornu;Food;2016;Bellver;0.896907216
O. balearica;Sexual;2018;Bellver;0.021604938
O. balearica;Sexual;2018;Bellver;0.145070423
O. balearica;Sexual;2018;Bellver;0.169517885
O. balearica;Sexual;2018;Bellver;0.25647349
O. balearica;Sexual;2018;Bellver;0.559498956
O. balearica;Sexual;2018;Burguesa;0.107632094
O. balearica;Sexual;2018;Burguesa;0.196476965
O. balearica;Sexual;2017;Burguesa;0.269183922
O. balearica;Sexual;2017;Burguesa;0.532978723
O. balearica;Sexual;2017;Burguesa;0.582113821
O. balearica;Sexual;2017;Burguesa;0.641531323
O. balearica;Sexual;2017;Burguesa;0.69581749
O. balearica;Sexual;2017;Burguesa;0.700369914
O. balearica;Sexual;2017;Burguesa;0.780246914
O. balearica;Sexual;2017;Burguesa;0.789133247
O. balearica;Sexual;2017;Burguesa;0.857342657
O. balearica;Sexual;2017;Burguesa;0.857632933
O. balearica;Sexual;2017;Burguesa;0.895061728
O. balearica;Sexual;2017;Font de la Cala;0
O. balearica;Sexual;2017;Font de la Cala;0.05204461
O. balearica;Sexual;2017;Font de la Cala;0.061913696
O. balearica;Sexual;2017;Font de la Cala;0.070844687
O. balearica;Sexual;2017;Font de la Cala;0.077419355
O. balearica;Sexual;2017;Font de la Cala;0.116607774
O. balearica;Sexual;2017;Font de la Cala;0.152542373
O. balearica;Sexual;2017;Font de la Cala;0.178981938
O. balearica;Sexual;2017;Font de la Cala;0.208386277
O. balearica;Sexual;2017;Font de la Cala;0.232954545
O. balearica;Sexual;2017;Font de la Cala;0.26519337
O. balearica;Sexual;2017;Font de la Cala;0.277777778
O. balearica;Sexual;2017;Font de la Cala;0.288860104
O. balearica;Sexual;2017;Font de la Cala;0.300970874
O. balearica;Sexual;2017;Font de la Cala;0.303000968
O. balearica;Sexual;2017;Font de la Cala;0.303827751
O. balearica;Sexual;2017;Font de la Cala;0.349593496
O. balearica;Sexual;2017;Font de la Cala;0.373595506
O. balearica;Sexual;2017;Font de la Cala;0.417348609
O. balearica;Sexual;2017;Font de la Cala;0.45380117
O. balearica;Sexual;2017;Font de la Cala;0.454663212
O. balearica;Sexual;2017;Font de la Cala;0.455455455
O. balearica;Sexual;2017;Font de la Cala;0.473189087
O. balearica;Sexual;2017;Font de la Cala;0.555448409
O. balearica;Sexual;2017;Font de la Cala;0.556029883
O. balearica;Sexual;2017;Font de la Cala;0.556234719
O. balearica;Sexual;2017;Font de la Cala;0.559343434
O. balearica;Sexual;2017;Font de la Cala;0.577849117
O. balearica;Sexual;2017;Font de la Cala;0.578757876
O. balearica;Sexual;2017;Font de la Cala;0.584390244
O. balearica;Sexual;2017;Font de la Cala;0.591535433
O. balearica;Sexual;2017;Font de la Cala;0.592592593
O. balearica;Sexual;2017;Font de la Cala;0.598626104
O. balearica;Sexual;2017;Font de la Cala;0.612903226
O. balearica;Sexual;2017;Font de la Cala;0.667976424
O. balearica;Sexual;2017;Font de la Cala;0.674311927
O. balearica;Sexual;2017;Font de la Cala;0.679310345
O. balearica;Sexual;2017;Font de la Cala;0.681864235
O. balearica;Sexual;2017;Font de la Cala;0.693548387
O. balearica;Sexual;2017;Font de la Cala;0.706070288
O. balearica;Sexual;2017;Font de la Cala;0.710045662
O. balearica;Sexual;2017;Font de la Cala;0.718343195
O. balearica;Sexual;2017;Font de la Cala;0.719817768
O. balearica;Sexual;2017;Font de la Cala;0.722921914
O. balearica;Sexual;2017;Font de la Cala;0.72815534
O. balearica;Sexual;2017;Font de la Cala;0.732142857
O. balearica;Sexual;2017;Font de la Cala;0.733509235
O. balearica;Sexual;2017;Font de la Cala;0.737288136
O. balearica;Sexual;2017;Font de la Cala;0.743823147
O. balearica;Sexual;2017;Font de la Cala;0.748290014
O. balearica;Sexual;2017;Font de la Cala;0.761904762
O. balearica;Sexual;2017;Font de la Cala;0.783783784
O. balearica;Sexual;2017;Font de la Cala;0.787755102
O. balearica;Sexual;2017;Font de la Cala;0.794270833
O. balearica;Sexual;2017;Font de la Cala;0.804375804
O. balearica;Sexual;2017;Font de la Cala;0.806134969
O. balearica;Sexual;2017;Font de la Cala;0.809388336
O. balearica;Sexual;2017;Font de la Cala;0.814701378
O. balearica;Sexual;2017;Font de la Cala;0.818298969
O. balearica;Sexual;2017;Font de la Cala;0.822558459
O. balearica;Sexual;2017;Font de la Cala;0.836065574
O. balearica;Sexual;2017;Font de la Cala;0.847701149
O. balearica;Sexual;2017;Font de la Cala;0.852300242
O. balearica;Sexual;2017;Font de la Cala;0.854140915
O. balearica;Sexual;2017;Font de la Cala;0.856466877
O. balearica;Sexual;2017;Font de la Cala;0.857988166
O. balearica;Sexual;2017;Font de la Cala;0.860759494
O. balearica;Sexual;2017;Font de la Cala;0.869158879
O. balearica;Sexual;2017;Font de la Cala;0.876854599
O. balearica;Sexual;2017;Font de la Cala;0.884012539
O. balearica;Sexual;2017;Font de la Cala;0.88451087
O. balearica;Sexual;2017;Font de la Cala;0.886456908
O. balearica;Sexual;2017;Font de la Cala;0.886871508
O. balearica;Sexual;2017;Font de la Cala;0.896551724
O. balearica;Sexual;2017;Font de la Cala;0.905982906
O. balearica;Sexual;2017;Font de la Cala;0.908675799
O. balearica;Sexual;2017;Font de la Cala;0.909352518
O. balearica;Sexual;2017;Font de la Cala;0.910029499
O. balearica;Sexual;2017;Font de la Cala;0.913407821
O. balearica;Sexual;2017;Font de la Cala;0.920386007
O. balearica;Sexual;2017;Font de la Cala;0.921167883
O. balearica;Sexual;2017;Font de la Cala;0.927803379
O. balearica;Sexual;2017;Font de la Cala;0.930059524
O. balearica;Sexual;2017;Font de la Cala;0.9455081
O. balearica;Sexual;2017;Font de la Cala;0.961485557
O. balearica;Sexual;2017;Font de la Cala;0.966386555
O. balearica;Sexual;2017;Font de la Cala;0.968277946
O. balearica;Sexual;2017;Font de la Cala;0.980392157
O. balearica;Sexual;2017;Font de la Cala;0.994652406
O. balearica;Sexual;2018;Font de Sa Cala;0.01843318
O. balearica;Sexual;2018;Font de Sa Cala;0.242346939
O. balearica;Sexual;2018;Font de Sa Cala;0.252964427
O. balearica;Sexual;2018;Font de Sa Cala;0.269021739
O. balearica;Sexual;2018;Font de Sa Cala;0.284153005
O. balearica;Sexual;2018;Font de Sa Cala;0.295663601
O. balearica;Sexual;2018;Font de Sa Cala;0.375408052
O. balearica;Sexual;2018;Font de Sa Cala;0.382382382
O. balearica;Sexual;2018;Font de Sa Cala;0.4
O. balearica;Sexual;2018;Font de Sa Cala;0.474605954
O. balearica;Sexual;2018;Font de Sa Cala;0.476489028
O. balearica;Sexual;2018;Font de Sa Cala;0.49689441
O. balearica;Sexual;2018;Font de Sa Cala;0.511796733
O. balearica;Sexual;2018;Font de Sa Cala;0.526564345
O. balearica;Sexual;2018;Font de Sa Cala;0.537126326
O. balearica;Sexual;2018;Font de Sa Cala;0.615300546
O. balearica;Sexual;2018;Font de Sa Cala;0.62407603
O. balearica;Sexual;2018;Font de Sa Cala;0.624096386
O. balearica;Sexual;2018;Font de Sa Cala;0.625124626
O. balearica;Sexual;2018;Font de Sa Cala;0.629877369
O. balearica;Sexual;2018;Font de Sa Cala;0.63015873
O. balearica;Sexual;2018;Font de Sa Cala;0.640509014
O. balearica;Sexual;2018;Font de Sa Cala;0.649323621
O. balearica;Sexual;2018;Font de Sa Cala;0.662817552
O. balearica;Sexual;2018;Font de Sa Cala;0.680924855
O. balearica;Sexual;2018;Font de Sa Cala;0.692206077
O. balearica;Sexual;2018;Font de Sa Cala;0.69346049
O. balearica;Sexual;2018;Font de Sa Cala;0.701136364
O. balearica;Sexual;2018;Font de Sa Cala;0.707284768
O. balearica;Sexual;2018;Font de Sa Cala;0.714108911
O. balearica;Sexual;2018;Font de Sa Cala;0.721518987
O. balearica;Sexual;2018;Font de Sa Cala;0.726954492
O. balearica;Sexual;2018;Font de Sa Cala;0.728033473
O. balearica;Sexual;2018;Font de Sa Cala;0.728409091
O. balearica;Sexual;2018;Font de Sa Cala;0.729088639
O. balearica;Sexual;2018;Font de Sa Cala;0.733502538
O. balearica;Sexual;2018;Font de Sa Cala;0.756874096
O. balearica;Sexual;2018;Font de Sa Cala;0.76119403
O. balearica;Sexual;2018;Font de Sa Cala;0.768041237
O. balearica;Sexual;2018;Font de Sa Cala;0.768421053
O. balearica;Sexual;2018;Font de Sa Cala;0.789552239
O. balearica;Sexual;2018;Font de Sa Cala;0.791777188
O. balearica;Sexual;2018;Font de Sa Cala;0.794520548
O. balearica;Sexual;2018;Font de Sa Cala;0.803072626
O. balearica;Sexual;2018;Font de Sa Cala;0.8183161
O. balearica;Sexual;2018;Font de Sa Cala;0.82585752
O. balearica;Sexual;2018;Font de Sa Cala;0.826502732
O. balearica;Sexual;2018;Font de Sa Cala;0.843609023
O. balearica;Sexual;2018;Font de Sa Cala;0.860058309
O. balearica;Sexual;2018;Font de Sa Cala;0.867892977
O. balearica;Sexual;2018;Font de Sa Cala;0.964912281
O. balearica;Sexual;2017;Mondrago;0
O. balearica;Sexual;2018;Mondrago;0.052777778
O. balearica;Sexual;2018;Mondrago;0.064516129
O. balearica;Sexual;2018;Mondrago;0.065849923
O. balearica;Sexual;2017;Mondrago;0.072327044
O. balearica;Sexual;2018;Mondrago;0.089020772
O. balearica;Sexual;2018;Mondrago;0.098522167
O. balearica;Sexual;2017;Mondrago;0.113989637
O. balearica;Sexual;2018;Mondrago;0.160714286
O. balearica;Sexual;2018;Mondrago;0.163608563
O. balearica;Sexual;2018;Mondrago;0.186206897
O. balearica;Sexual;2018;Mondrago;0.229768786
O. balearica;Sexual;2017;Mondrago;0.231046931
O. balearica;Sexual;2017;Mondrago;0.240866035
O. balearica;Sexual;2018;Mondrago;0.253094911
O. balearica;Sexual;2018;Mondrago;0.271317829
O. balearica;Sexual;2018;Mondrago;0.287958115
O. balearica;Sexual;2017;Mondrago;0.31030303
O. balearica;Sexual;2018;Mondrago;0.374858437
O. balearica;Sexual;2018;Mondrago;0.389461627
O. balearica;Sexual;2018;Mondrago;0.400423729
O. balearica;Sexual;2017;Mondrago;0.45687885
O. balearica;Sexual;2018;Mondrago;0.462242563
O. balearica;Sexual;2018;Mondrago;0.491315136
O. balearica;Sexual;2018;Mondrago;0.509202454
O. balearica;Sexual;2017;Mondrago;0.510416667
O. balearica;Sexual;2018;Mondrago;0.525739321
O. balearica;Sexual;2018;Mondrago;0.530938124
O. balearica;Sexual;2017;Mondrago;0.545279383
O. balearica;Sexual;2018;Mondrago;0.569495695
O. balearica;Sexual;2017;Mondrago;0.599186165
O. balearica;Sexual;2017;Mondrago;0.603703704
O. balearica;Sexual;2017;Mondrago;0.607476636
O. balearica;Sexual;2017;Mondrago;0.638799571
O. balearica;Sexual;2017;Mondrago;0.672907489
O. balearica;Sexual;2017;Mondrago;0.690021231
O. balearica;Sexual;2017;Mondrago;0.73081464
O. balearica;Sexual;2017;Mondrago;0.759556104
O. balearica;Sexual;2018;Mondrago;0.76489533
O. balearica;Sexual;2017;Mondrago;0.770755886
O. balearica;Sexual;2017;Mondrago;0.773635153
O. balearica;Sexual;2017;Mondrago;0.778554779
O. balearica;Sexual;2017;Mondrago;0.816446402
O. balearica;Sexual;2018;Mondrago;0.816780822
O. balearica;Sexual;2017;Mondrago;0.832266325
O. balearica;Sexual;2017;Mondrago;0.832689833
O. balearica;Sexual;2017;Mondrago;0.86037234
O. balearica;Sexual;2017;Mondrago;0.866141732
O. balearica;Sexual;2017;Mondrago;0.875675676
O. balearica;Sexual;2017;Mondrago;0.878179384
O. balearica;Sexual;2017;Mondrago;0.88028169
O. balearica;Sexual;2017;Mondrago;0.88253012
O. balearica;Sexual;2017;Mondrago;0.897928994
O. balearica;Sexual;2017;Mondrago;0.902298851
O. balearica;Sexual;2017;Mondrago;0.902777778
O. balearica;Sexual;2017;Mondrago;0.958532695
O. balearica;Sexual;2017;Mondrago;0.963665087
O. balearica;Sexual;2017;Mondrago;0.994035785
S. lingua;Sexual;2021;Algaida;0.189090909
S. lingua;Sexual;2021;Bellver2;0.583333333
S. lingua;Sexual;2021;Caubet;0
S. lingua;Sexual;2021;Caubet;0
S. lingua;Sexual;2021;Caubet;0
S. lingua;Sexual;2021;Caubet;0
S. lingua;Sexual;2021;Caubet;0
S. lingua;Sexual;2021;Caubet;0
S. lingua;Sexual;2021;Caubet;0
S. lingua;Sexual;2021;Caubet;0.001
S. lingua;Sexual;2021;Caubet;0.005
S. lingua;Sexual;2021;Caubet;0.142
S. lingua;Sexual;2021;Caubet;0.260233918
S. lingua;Sexual;2021;Llubi;0
S. lingua;Sexual;2021;Llubi;0
S. lingua;Sexual;2021;Llubi;0
S. lingua;Sexual;2021;Llubi;0
S. lingua;Sexual;2021;Llubi;0
S. lingua;Sexual;2021;Llubi;0.002
S. lingua;Sexual;2021;Son Gual;0.01
S. lingua;Sexual;2021;Son Gual;0.443594646
S. lingua;Sexual;2021;Son Gual;0.555774926
S. parviflora;Shelter;2021;Caubet;0.067
S. parviflora;Shelter;2021;Caubet;0.320998279
S. parviflora;Shelter;2021;Caubet;0.432659933
S. parviflora;Shelter;2021;Caubet;0.47414421
S. parviflora;Shelter;2021;Caubet;0.511764706
